shipment_id,zone,latitude,longitude,distance_km,weight_kg,package_type,vehicle_type,route_id,stops_per_route,month,day,hour,is_weekend,is_festive,peak_hour,promised_delivery_hrs,actual_delivery_hrs,delay_hrs,on_time,first_attempt,total_cost_inr,fuel_cost_inr,labor_cost_inr,route_efficiency,cost_per_km,cluster,cluster_label
DEL100000,Mumbai,19.19121843816806,72.75737607493764,12.15,9.78,Standard,3-Wheeler,RT-134,10,3,4,17,1,0,1,10.5,3.32,1.0664,1,1,364.5018,194.34,196.1,100.0,38.47,0,Optimal
DEL100001,Ahmedabad,22.954424710305798,72.5647220438299,4.98,2.27,Heavy,Van,RT-174,13,5,8,14,0,0,0,10.05,1.57,0.279,1,0,336.5622,109.66,158.93,74.33999999999999,86.56,2,Cluster 2
DEL100002,Chennai,13.045457276161866,80.29260185445195,7.17,3.09,Express,2-Wheeler,RT-107,24,3,1,17,0,1,1,3.48,4.09,1.3578,0,1,336.49980000000005,86.02,335.25,82.71799999999999,60.18,2,Cluster 2
DEL100003,Hyderabad,17.48915338181228,78.45606594723186,7.52,0.1,Fragile,3-Wheeler,RT-156,8,9,27,11,1,0,1,9.05,2.32,0.9424,1,1,216.1536,120.3,145.09,97.704,36.86,0,Optimal
DEL100004,Delhi_NCR,28.53681333314083,77.4979871501104,4.96,1.83,Standard,Van,RT-149,9,3,15,17,1,0,1,9.23,2.86,1.0788,1,1,237.16680000000002,109.01,172.1,96.642,61.36,0,Optimal
DEL100005,Delhi_NCR,28.613090651117986,77.11597091703077,12.17,0.1,Express,2-Wheeler,RT-148,23,2,18,10,1,0,1,3.1,4.88,1.55,0,1,392.3946,146.08,354.7,81.184,41.33,1,Overloaded Routes
DEL100006,Delhi_NCR,28.481811910595834,77.35636668412495,6.63,2.11,Standard,3-Wheeler,RT-120,14,12,1,14,0,0,0,8.31,2.49,0.6696000000000001,1,1,261.0894,106.09,199.25,96.87799999999999,50.48,0,Optimal
DEL100007,Kolkata,22.64278877902352,88.27726936447607,9.23,6.34,Express,2-Wheeler,RT-135,22,5,11,10,0,0,1,3.17,3.92,1.2338,0,1,389.1576,110.77,313.3,85.196,54.05,2,Cluster 2
DEL100008,Hyderabad,17.278833365965546,78.53817475572615,7.56,8.64,Standard,2-Wheeler,RT-170,19,6,23,13,0,0,1,10.14,3.97,1.1965999999999999,1,1,340.44660000000005,90.71,291.1,79.886,57.74,2,Cluster 2
DEL100009,Chennai,13.111804485712454,80.16831488174955,14.15,1.94,Standard,3-Wheeler,RT-168,5,1,2,11,0,1,1,7.87,3.6,1.5872,1,0,412.00380000000007,226.4,166.12,55.931999999999995,37.33,1,Overloaded Routes
DEL100010,Delhi_NCR,28.875431781125204,76.90574052424662,13.56,1.53,Express,3-Wheeler,RT-157,9,12,1,10,0,0,1,2.1,2.9,0.9734,0,1,311.05620000000005,217.03,173.6,100.0,29.4,0,Optimal
DEL100011,Ahmedabad,23.036466960208518,72.68872318403352,8.78,7.25,Express,3-Wheeler,RT-162,9,11,12,19,1,0,1,3.8,3.03,1.0044,1,1,255.05220000000003,140.48,178.19,100.0,37.24,0,Optimal
DEL100012,Kolkata,22.54690456092414,88.42348408168243,14.56,2.8,Heavy,2-Wheeler,RT-115,12,6,16,9,1,0,0,9.73,2.5,0.5332,1,1,295.8774,174.66,183.66,100.0,26.06,0,Optimal
DEL100013,Delhi_NCR,28.598797198981394,76.99195064164407,20.88,0.17,Express,2-Wheeler,RT-105,24,10,22,17,0,0,1,3.88,4.87,1.0912,0,0,564.525,250.52,362.53,58.528,34.67,1,Overloaded Routes
DEL100014,Delhi_NCR,28.89198882397991,77.08653380442053,2.02,1.57,Express,2-Wheeler,RT-177,19,3,22,20,0,0,1,2.5,3.59,1.3268,0,1,334.3002,24.21,277.69,55.224,212.48,1,Overloaded Routes
DEL100015,Delhi_NCR,28.847049601839565,76.96096822412376,7.29,0.69,Standard,3-Wheeler,RT-151,21,4,10,6,1,0,0,11.66,3.43,1.0478,1,1,313.4742,116.57,288.18,86.14,55.16,2,Cluster 2
DEL100016,Mumbai,18.945897116811288,72.75934022486535,5.64,1.59,Express,Van,RT-101,23,6,18,16,0,0,0,3.62,3.13,0.806,1,1,318.09180000000003,124.17,293.68,85.786,72.25,2,Cluster 2
DEL100017,Bangalore,13.02808338888156,77.57898422030331,6.87,1.52,Express,Van,RT-176,17,8,15,10,0,0,1,3.4,2.72,0.8122,1,1,313.9266,151.19,231.19,83.544,58.56,2,Cluster 2
