shipment_id,zone,latitude,longitude,distance_km,weight_kg,package_type,vehicle_type,route_id,stops_per_route,month,day,hour,is_weekend,is_festive,peak_hour,promised_delivery_hrs,actual_delivery_hrs,delay_hrs,on_time,first_attempt,total_cost_inr,fuel_cost_inr,labor_cost_inr,route_efficiency,cost_per_km
DEL100000,Mumbai,19.19121843816806,72.75737607493764,12.15,9.78,Standard,3-Wheeler,RT-134,10,3,4,17,1,0,1,10.5,3.32,1.72,1,1,467.31,194.34,196.1,85.5,38.47
DEL100001,Ahmedabad,22.954424710305798,72.5647220438299,4.98,2.27,Heavy,Van,RT-174,13,5,8,14,0,0,0,10.05,1.57,0.45,1,0,431.49,109.66,158.93,63.0,86.56
DEL100002,Chennai,13.045457276161866,80.29260185445195,7.17,3.09,Express,2-Wheeler,RT-107,24,3,1,17,0,1,1,3.48,4.09,2.19,0,1,431.41,86.02,335.25,70.1,60.18
DEL100003,Hyderabad,17.48915338181228,78.45606594723186,7.52,0.1,Fragile,3-Wheeler,RT-156,8,9,27,11,1,0,1,9.05,2.32,1.52,1,1,277.12,120.3,145.09,82.8,36.86
DEL100004,Delhi_NCR,28.53681333314083,77.4979871501104,4.96,1.83,Standard,Van,RT-149,9,3,15,17,1,0,1,9.23,2.86,1.74,1,1,304.06,109.01,172.1,81.9,61.36
DEL100005,Delhi_NCR,28.613090651117986,77.11597091703077,12.17,0.1,Express,2-Wheeler,RT-148,23,2,18,10,1,0,1,3.1,4.88,2.5,0,1,503.07,146.08,354.7,68.8,41.33
DEL100006,Delhi_NCR,28.481811910595834,77.35636668412495,6.63,2.11,Standard,3-Wheeler,RT-120,14,12,1,14,0,0,0,8.31,2.49,1.08,1,1,334.73,106.09,199.25,82.1,50.48
DEL100007,Kolkata,22.64278877902352,88.27726936447607,9.23,6.34,Express,2-Wheeler,RT-135,22,5,11,10,0,0,1,3.17,3.92,1.99,0,1,498.92,110.77,313.3,72.2,54.05
DEL100008,Hyderabad,17.278833365965546,78.53817475572615,7.56,8.64,Standard,2-Wheeler,RT-170,19,6,23,13,0,0,1,10.14,3.97,1.93,1,1,436.47,90.71,291.1,67.7,57.74
DEL100009,Chennai,13.111804485712454,80.16831488174955,14.15,1.94,Standard,3-Wheeler,RT-168,5,1,2,11,0,1,1,7.87,3.6,2.56,1,0,528.21,226.4,166.12,47.4,37.33
DEL100010,Delhi_NCR,28.875431781125204,76.90574052424662,13.56,1.53,Express,3-Wheeler,RT-157,9,12,1,10,0,0,1,2.1,2.9,1.57,0,1,398.79,217.03,173.6,86.7,29.4
DEL100011,Ahmedabad,23.036466960208518,72.68872318403352,8.78,7.25,Express,3-Wheeler,RT-162,9,11,12,19,1,0,1,3.8,3.03,1.62,1,1,326.99,140.48,178.19,86.6,37.24
DEL100012,Kolkata,22.54690456092414,88.42348408168243,14.56,2.8,Heavy,2-Wheeler,RT-115,12,6,16,9,1,0,0,9.73,2.5,0.86,1,1,379.33,174.66,183.66,87.3,26.06
DEL100013,Delhi_NCR,28.598797198981394,76.99195064164407,20.88,0.17,Express,2-Wheeler,RT-105,24,10,22,17,0,0,1,3.88,4.87,1.76,0,0,723.75,250.52,362.53,49.6,34.67
DEL100014,Delhi_NCR,28.89198882397991,77.08653380442053,2.02,1.57,Express,2-Wheeler,RT-177,19,3,22,20,0,0,1,2.5,3.59,2.14,0,0,428.59,24.21,277.69,46.8,212.48
DEL100015,Delhi_NCR,28.847049601839565,76.96096822412376,7.29,0.69,Standard,3-Wheeler,RT-151,21,4,10,6,1,0,0,11.66,3.43,1.69,1,1,401.89,116.57,288.18,73.0,55.16
DEL100016,Mumbai,18.945897116811288,72.75934022486535,5.64,1.59,Express,Van,RT-101,23,6,18,16,0,0,0,3.62,3.13,1.3,1,1,407.81,124.17,293.68,72.7,72.25
DEL100017,Bangalore,13.02808338888156,77.57898422030331,6.87,1.52,Express,Van,RT-176,17,8,15,10,0,0,1,3.4,2.72,1.31,1,1,402.47,151.19,231.19,70.8,58.56
DEL100018,Bangalore,13.102525387443873,77.61562346734205,1.71,2.18,Heavy,2-Wheeler,RT-117,14,9,17,7,0,1,0,9.02,2.58,1.43,1,1,252.87,20.51,202.17,84.5,147.97
DEL100019,Mumbai,19.285687042561626,72.80565765471094,1.95,1.1,Fragile,Van,RT-175,21,6,10,12,0,0,1,8.8,3.06,1.34,1,1,338.07,42.8,274.98,80.4,173.77
DEL100020,Hyderabad,17.554018108784465,78.57180889847712,1.0,0.45,Standard,3-Wheeler,RT-134,9,7,3,19,1,0,1,10.77,1.52,0.78,1,1,130.97,16.0,125.08,93.6,130.97
DEL100021,Delhi_NCR,28.785460922322024,77.39134825968182,7.72,1.75,Heavy,3-Wheeler,RT-138,22,5,26,6,0,0,0,11.0,3.32,1.36,1,0,590.0,123.59,292.35,49.0,76.38
DEL100022,Mumbai,19.19246079592435,72.93786609648943,7.59,4.43,Standard,2-Wheeler,RT-100,21,12,21,14,0,0,0,7.7,3.09,1.42,1,0,582.81,91.02,276.0,47.5,76.83
